Datetime, Target RPM, Actual RPM, PWM Signal
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:8,0.00,0.00,700
2021/5/18 1:11:8,0.00,0.00,700
2021/5/18 1:11:8,0.00,0.00,700
2021/5/18 1:11:8,0.00,0.00,700
2021/5/18 1:11:9,0.00,0.00,700
2021/5/18 1:11:9,0.00,0.00,700
2021/5/18 1:11:9,0.00,0.00,700
2021/5/18 1:11:9,0.00,0.00,700
2021/5/18 1:11:10,0.00,0.00,700
2021/5/18 1:11:10,0.00,0.00,700
2021/5/18 1:11:10,0.00,0.00,700
2021/5/18 1:11:10,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:6,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:7,0.00,0.00,700
2021/5/18 1:11:8,0.00,0.00,700
2021/5/18 1:11:8,3000.00,0.00,1168
2021/5/18 1:11:8,3000.00,563.77,1168
2021/5/18 1:11:8,3000.00,2683.34,1168
2021/5/18 1:11:9,3000.00,5039.24,1168
2021/5/18 1:11:9,3000.00,6255.38,1168
2021/5/18 1:11:9,3000.00,7287.08,1168
2021/5/18 1:11:9,3000.00,7749.50,1168
2021/5/18 1:11:10,3000.00,7982.24,1168
2021/5/18 1:11:10,3000.00,8147.75,1168
2021/5/18 1:11:10,3000.00,8298.61,1168
2021/5/18 1:11:10,3000.00,8323.29,1168
2021/5/18 1:11:6,3000.00,8380.77,1168
2021/5/18 1:11:6,3000.00,8430.74,1168
2021/5/18 1:11:6,3000.00,8399.24,1168
2021/5/18 1:11:6,3000.00,8401.30,1168
2021/5/18 1:11:7,3000.00,8400.79,1168
2021/5/18 1:11:7,3000.00,8458.30,1168
2021/5/18 1:11:7,3000.00,8472.41,1168
2021/5/18 1:11:7,3000.00,8444.24,1168
2021/5/18 1:11:8,3000.00,8429.70,1168
2021/5/18 1:11:8,3000.00,8467.18,1168
2021/5/18 1:11:8,3000.00,8445.28,1168
2021/5/18 1:11:8,3000.00,8403.88,1168
2021/5/18 1:11:9,3000.00,8438.52,1168
2021/5/18 1:11:9,3000.00,8479.22,1168
2021/5/18 1:11:9,3000.00,8441.64,1168
2021/5/18 1:11:9,3000.00,8439.04,1168
2021/5/18 1:11:10,3000.00,8441.64,1168
2021/5/18 1:11:10,3000.00,8443.20,1168
2021/5/18 1:11:10,3000.00,8479.22,1168
2021/5/18 1:11:10,3000.00,8439.04,1168
2021/5/18 1:11:6,3000.00,8444.76,1168
2021/5/18 1:11:6,3000.00,8473.98,1168
2021/5/18 1:11:6,3000.00,8441.12,1168
2021/5/18 1:11:6,3000.00,8407.48,1168
2021/5/18 1:11:7,2500.00,8428.15,1076
2021/5/18 1:11:7,2500.00,8249.69,1076
2021/5/18 1:11:7,2500.00,8071.50,1076
2021/5/18 1:11:7,2500.00,8002.73,1076
2021/5/18 1:11:8,2500.00,7924.13,1076
2021/5/18 1:11:8,2500.00,7809.96,1076
2021/5/18 1:11:8,2500.00,7746.00,1076
2021/5/18 1:11:8,2500.00,7753.00,1076
2021/5/18 1:11:9,2500.00,7775.86,1076
2021/5/18 1:11:9,2500.00,7752.56,1076
2021/5/18 1:11:9,2500.00,7705.52,1076
2021/5/18 1:11:9,2500.00,7700.76,1076
2021/5/18 1:11:10,2500.00,7695.14,1076
2021/5/18 1:11:10,2500.00,7705.09,1076
2021/5/18 1:11:10,2500.00,7715.06,1076
2021/5/18 1:11:6,2500.00,7702.92,1076
2021/5/18 1:11:6,2500.00,7728.53,1076
2021/5/18 1:11:6,2500.00,7747.31,1076
2021/5/18 1:11:6,2500.00,7710.72,1076
2021/5/18 1:11:7,2500.00,7741.62,1076
2021/5/18 1:11:7,2500.00,7714.19,1076
2021/5/18 1:11:7,2500.00,7705.95,1076
2021/5/18 1:11:7,2500.00,7722.44,1076
2021/5/18 1:11:8,2500.00,7730.28,1076
